OID_,FIRE_NO,VERSION_NO,FIRE_YEAR,SIZE_HA,SOURCE,FIRE_DATE,LOAD_DATE,FIRE_STAT,FIRE_URL,FCODE,AREA_SQM,FEAT_LEN,SHAPE_1,OBJECTID,Shape_Length,Shape_Area
28,G41560,2023081801,2023,1144.3,Non-corrected airborne GPS,20230818,2.02308E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41560,JA70003000,11443129.24,30103.7523,0,6397134,30103.75226,11443129.24
29,G41569,2023072301,2023,801.1,Non-corrected airborne GPS,20230723,2.02307E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41569,JA70003000,8010961.413,18468.4671,0,6397135,18468.46709,8010961.413
30,G41593,2023071301,2023,29.4,Processed IR image,20230713,2.02308E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41593,JA70003000,293819.3045,2719.8281,0,6397136,2719.828071,293819.3045
31,G43171,2023090801,2023,12.2,Non-corrected ground GPS,20230908,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G43171,JA70003000,122228.5038,1665.3397,0,6397137,1665.339674,122228.5038
32,G50856,2023072502,2023,5712.7,Derived from satellite imagery,20230725,2.02308E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50856,JA70003000,57127275.31,50459.57,0,6397138,50459.56995,57127275.31
33,G50912,2023072101,2023,816.9,Processed IR image,20230721,2.02307E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50912,JA70003000,8168548.655,13610.1675,0,6397140,13610.16752,8168548.655
34,G51279,2023092302,2023,47888.3,Processed IR image,20230923,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51279,JA70003000,478882964.5,152876.8992,0,6397141,152876.8992,478882964.5
35,G51344,2023092701,2023,5219.6,Non-corrected airborne GPS,20230927,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51344,JA70003000,52195808.75,74748.9061,0,6397142,74748.90611,52195808.75
36,G51474,2023091001,2023,1503.4,Processed IR image,20230910,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51474,JA70003000,15034023.61,23811.2521,0,6397144,23811.2521,15034023.61
37,G51564,2023092501,2023,6143.2,Processed IR image,20230925,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51564,JA70003000,61431889.98,74664.2634,0,6397145,77950.95499,49356349.92
38,G51755,2023091001,2023,121.9,Processed IR image,20230910,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51755,JA70003000,1219012.402,5891.4026,0,6397147,5891.402623,1219012.402
39,G52955,2023091101,2023,1590.6,Non-corrected airborne GPS,20230911,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G52955,JA70003000,15906457.92,29138.6928,0,6397148,29138.69275,15906457.92
40,R10357,2024051901,2024,6,Non-corrected ground GPS,20240519,2.02406E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=R10357,JA70003000,59748.31,1356.2913,0,6397240,1356.291268,59748.30997
